/home/mayuan/miniconda3/envs/labelnoise/lib/python3.7/site-packages/nni/runtime/trial_command_channel/standalone.py:34: RuntimeWarning: [1m[31mRunning trial code without runtime. Please check the tutorial if you are new to NNI: [33mhttps://nni.readthedocs.io/en/stable/tutorials/hpo_quickstart_pytorch/main.html[0m
  warnings.warn(warning_message, RuntimeWarning)
loading config from /home/mayuan/label_noise/DISC/configs/DISC_organcmnist.py ...
---------- params info: ----------
algorithm  :  DISC
dataset  :  organcmnist
input_channel  :  3
num_classes  :  11
noise_type  :  instance
noise_rate  :  0.2
seed  :  5
loss_type  :  ce
gpu  :  0
batch_size  :  128
lr  :  0.01
epochs  :  50
num_workers  :  4
adjust_lr  :  1
epoch_decay_start  :  30
alpha  :  5.0
save_result  :  False
root  :  /data/yfli/CIFAR10
momentum  :  0.99
---------------------------------
Loading noisy labels from cache: /home/mayuan/label_noise/instance_noise/organcmnist/noisy_nr0_2_seed0_train.npy
Loading noisy labels from cache: /home/mayuan/label_noise/instance_noise/organcmnist/noisy_nr0_2_seed0_val.npy
Adjusting learning rate of group 0 to 1.0000e-01.
Evaluating ...
Evaluating ...
Epoch [0/50] Test Accuracy on the 8216 test images: 4.3452
Loading labels......

  0%|          | 0/101 [00:00<?, ?it/s]
  1%|          | 1/101 [00:00<00:58,  1.72it/s]
  5%|▍         | 5/101 [00:00<00:14,  6.42it/s]
  9%|▉         | 9/101 [00:01<00:10,  8.60it/s]
 13%|█▎        | 13/101 [00:01<00:08,  9.80it/s]
 17%|█▋        | 17/101 [00:01<00:07, 10.53it/s]
 21%|██        | 21/101 [00:02<00:07, 10.94it/s]
 25%|██▍       | 25/101 [00:02<00:06, 11.27it/s]
 29%|██▊       | 29/101 [00:02<00:06, 11.48it/s]
 33%|███▎      | 33/101 [00:03<00:05, 11.71it/s]
 37%|███▋      | 37/101 [00:03<00:05, 11.79it/s]
 41%|████      | 41/101 [00:03<00:05, 11.90it/s]
 45%|████▍     | 45/101 [00:04<00:04, 11.83it/s]
 49%|████▊     | 49/101 [00:04<00:04, 11.82it/s]
 52%|█████▏    | 53/101 [00:04<00:04, 11.89it/s]
 54%|█████▍    | 55/101 [00:05<00:03, 12.80it/s]
 56%|█████▋    | 57/101 [00:05<00:03, 11.53it/s]
 59%|█████▉    | 60/101 [00:05<00:02, 14.11it/s]
 61%|██████▏   | 62/101 [00:05<00:03, 11.02it/s]
 64%|██████▍   | 65/101 [00:05<00:03, 11.12it/s]
 68%|██████▊   | 69/101 [00:06<00:02, 11.39it/s]
 72%|███████▏  | 73/101 [00:06<00:02, 11.56it/s]
 76%|███████▌  | 77/101 [00:06<00:02, 11.72it/s]
 80%|████████  | 81/101 [00:07<00:01, 11.78it/s]
 84%|████████▍ | 85/101 [00:07<00:01, 11.81it/s]
 88%|████████▊ | 89/101 [00:07<00:01, 11.91it/s]
 92%|█████████▏| 93/101 [00:08<00:00, 11.79it/s]
 96%|█████████▌| 97/101 [00:08<00:00, 11.83it/s]
100%|██████████| 101/101 [00:08<00:00, 11.90it/s]
100%|██████████| 101/101 [00:09<00:00, 11.16it/s]
The labels are loaded!
The labels are loaded!!!
Training ...

  0%|          | 0/101 [00:00<?, ?it/s]
Epoch [1/50], loss_sup: 5.0092:   0%|          | 0/101 [00:01<?, ?it/s]
Epoch [1/50], loss_sup: 5.0092:   1%|          | 1/101 [00:01<01:54,  1.15s/it]
Epoch [1/50], loss_sup: 17.5341:   1%|          | 1/101 [00:01<01:54,  1.15s/it]
Epoch [1/50], loss_sup: 17.5341:   2%|▏         | 2/101 [00:01<01:17,  1.28it/s]
Epoch [1/50], loss_sup: 34.7456:   2%|▏         | 2/101 [00:02<01:17,  1.28it/s]
Epoch [1/50], loss_sup: 34.7456:   3%|▎         | 3/101 [00:02<01:05,  1.50it/s]
Epoch [1/50], loss_sup: 17.0688:   3%|▎         | 3/101 [00:02<01:05,  1.50it/s]
Epoch [1/50], loss_sup: 17.0688:   4%|▍         | 4/101 [00:02<00:59,  1.64it/s]
Epoch [1/50], loss_sup: 11.6374:   4%|▍         | 4/101 [00:03<00:59,  1.64it/s]
Epoch [1/50], loss_sup: 11.6374:   5%|▍         | 5/101 [00:03<00:55,  1.72it/s]
Epoch [1/50], loss_sup: 7.6897:   5%|▍         | 5/101 [00:03<00:55,  1.72it/s] 
Epoch [1/50], loss_sup: 7.6897:   6%|▌         | 6/101 [00:03<00:53,  1.79it/s]
Epoch [1/50], loss_sup: 6.0169:   6%|▌         | 6/101 [00:04<00:53,  1.79it/s]
Epoch [1/50], loss_sup: 6.0169:   7%|▋         | 7/101 [00:04<00:51,  1.83it/s]
Epoch [1/50], loss_sup: 6.6503:   7%|▋         | 7/101 [00:04<00:51,  1.83it/s]
Epoch [1/50], loss_sup: 6.6503:   8%|▊         | 8/101 [00:04<00:49,  1.87it/s]
Epoch [1/50], loss_sup: 5.8796:   8%|▊         | 8/101 [00:05<00:49,  1.87it/s]
Epoch [1/50], loss_sup: 5.8796:   9%|▉         | 9/101 [00:05<00:48,  1.89it/s]
Epoch [1/50], loss_sup: 5.6076:   9%|▉         | 9/101 [00:05<00:48,  1.89it/s]
Epoch [1/50], loss_sup: 5.6076:  10%|▉         | 10/101 [00:05<00:47,  1.90it/s]
Epoch [1/50], loss_sup: 6.0791:  10%|▉         | 10/101 [00:06<00:47,  1.90it/s]
Epoch [1/50], loss_sup: 6.0791:  11%|█         | 11/101 [00:06<00:47,  1.91it/s]
Epoch [1/50], loss_sup: 5.3678:  11%|█         | 11/101 [00:06<00:47,  1.91it/s]
Epoch [1/50], loss_sup: 5.3678:  12%|█▏        | 12/101 [00:06<00:46,  1.91it/s]
Epoch [1/50], loss_sup: 5.0128:  12%|█▏        | 12/101 [00:07<00:46,  1.91it/s]
Epoch [1/50], loss_sup: 5.0128:  13%|█▎        | 13/101 [00:07<00:45,  1.92it/s]
Epoch [1/50], loss_sup: 5.1147:  13%|█▎        | 13/101 [00:07<00:45,  1.92it/s]
Epoch [1/50], loss_sup: 5.1147:  14%|█▍        | 14/101 [00:07<00:45,  1.92it/s]
Epoch [1/50], loss_sup: 4.7445:  14%|█▍        | 14/101 [00:08<00:45,  1.92it/s]
Epoch [1/50], loss_sup: 4.7445:  15%|█▍        | 15/101 [00:08<00:44,  1.92it/s]
Epoch [1/50], loss_sup: 4.7002:  15%|█▍        | 15/101 [00:08<00:44,  1.92it/s]
Epoch [1/50], loss_sup: 4.7002:  16%|█▌        | 16/101 [00:08<00:44,  1.93it/s]
Epoch [1/50], loss_sup: 4.9588:  16%|█▌        | 16/101 [00:09<00:44,  1.93it/s]
Epoch [1/50], loss_sup: 4.9588:  17%|█▋        | 17/101 [00:09<00:43,  1.93it/s]
Epoch [1/50], loss_sup: 4.6008:  17%|█▋        | 17/101 [00:09<00:43,  1.93it/s]
Epoch [1/50], loss_sup: 4.6008:  18%|█▊        | 18/101 [00:09<00:43,  1.92it/s]
Epoch [1/50], loss_sup: 4.7277:  18%|█▊        | 18/101 [00:10<00:43,  1.92it/s]
Epoch [1/50], loss_sup: 4.7277:  19%|█▉        | 19/101 [00:10<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.6191:  19%|█▉        | 19/101 [00:11<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.6191:  20%|█▉        | 20/101 [00:11<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.7117:  20%|█▉        | 20/101 [00:11<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.7117:  21%|██        | 21/101 [00:11<00:41,  1.92it/s]
Epoch [1/50], loss_sup: 4.6055:  21%|██        | 21/101 [00:12<00:41,  1.92it/s]
Epoch [1/50], loss_sup: 4.6055:  22%|██▏       | 22/101 [00:12<00:41,  1.92it/s]
Epoch [1/50], loss_sup: 4.7744:  22%|██▏       | 22/101 [00:12<00:41,  1.92it/s]
Epoch [1/50], loss_sup: 4.7744:  23%|██▎       | 23/101 [00:12<00:40,  1.92it/s]
Epoch [1/50], loss_sup: 4.6304:  23%|██▎       | 23/101 [00:13<00:40,  1.92it/s]
Epoch [1/50], loss_sup: 4.6304:  24%|██▍       | 24/101 [00:13<00:40,  1.92it/s]
Epoch [1/50], loss_sup: 4.7297:  24%|██▍       | 24/101 [00:13<00:40,  1.92it/s]
Epoch [1/50], loss_sup: 4.7297:  25%|██▍       | 25/101 [00:13<00:39,  1.94it/s]
Epoch [1/50], loss_sup: 4.5086:  25%|██▍       | 25/101 [00:14<00:39,  1.94it/s]
Epoch [1/50], loss_sup: 4.5086:  26%|██▌       | 26/101 [00:14<00:38,  1.94it/s]
Epoch [1/50], loss_sup: 4.5447:  26%|██▌       | 26/101 [00:14<00:38,  1.94it/s]
Epoch [1/50], loss_sup: 4.5447:  27%|██▋       | 27/101 [00:14<00:38,  1.93it/s]
Epoch [1/50], loss_sup: 4.5037:  27%|██▋       | 27/101 [00:15<00:38,  1.93it/s]
Epoch [1/50], loss_sup: 4.5037:  28%|██▊       | 28/101 [00:15<00:37,  1.93it/s]
Epoch [1/50], loss_sup: 4.6613:  28%|██▊       | 28/101 [00:15<00:37,  1.93it/s]
Epoch [1/50], loss_sup: 4.6613:  29%|██▊       | 29/101 [00:15<00:37,  1.93it/s]
Epoch [1/50], loss_sup: 4.5033:  29%|██▊       | 29/101 [00:16<00:37,  1.93it/s]
Epoch [1/50], loss_sup: 4.5033:  30%|██▉       | 30/101 [00:16<00:36,  1.93it/s]
Epoch [1/50], loss_sup: 4.3873:  30%|██▉       | 30/101 [00:16<00:36,  1.93it/s]
Epoch [1/50], loss_sup: 4.3873:  31%|███       | 31/101 [00:16<00:36,  1.93it/s]
Epoch [1/50], loss_sup: 4.3234:  31%|███       | 31/101 [00:17<00:36,  1.93it/s]
Epoch [1/50], loss_sup: 4.3234:  32%|███▏      | 32/101 [00:17<00:35,  1.92it/s]
Epoch [1/50], loss_sup: 4.3361:  32%|███▏      | 32/101 [00:17<00:35,  1.92it/s]
Epoch [1/50], loss_sup: 4.3361:  33%|███▎      | 33/101 [00:17<00:35,  1.93it/s]
Epoch [1/50], loss_sup: 4.5175:  33%|███▎      | 33/101 [00:18<00:35,  1.93it/s]
Epoch [1/50], loss_sup: 4.5175:  34%|███▎      | 34/101 [00:18<00:34,  1.92it/s]
Epoch [1/50], loss_sup: 4.2533:  34%|███▎      | 34/101 [00:18<00:34,  1.92it/s]
Epoch [1/50], loss_sup: 4.2533:  35%|███▍      | 35/101 [00:18<00:34,  1.92it/s]
Epoch [1/50], loss_sup: 4.4346:  35%|███▍      | 35/101 [00:19<00:34,  1.92it/s]
Epoch [1/50], loss_sup: 4.4346:  36%|███▌      | 36/101 [00:19<00:33,  1.92it/s]
Epoch [1/50], loss_sup: 4.3290:  36%|███▌      | 36/101 [00:19<00:33,  1.92it/s]
Epoch [1/50], loss_sup: 4.3290:  37%|███▋      | 37/101 [00:19<00:33,  1.92it/s]
Epoch [1/50], loss_sup: 4.3732:  37%|███▋      | 37/101 [00:20<00:33,  1.92it/s]
Epoch [1/50], loss_sup: 4.3732:  38%|███▊      | 38/101 [00:20<00:32,  1.92it/s]
Epoch [1/50], loss_sup: 4.4014:  38%|███▊      | 38/101 [00:20<00:32,  1.92it/s]
Epoch [1/50], loss_sup: 4.4014:  39%|███▊      | 39/101 [00:20<00:32,  1.91it/s]
Epoch [1/50], loss_sup: 4.2765:  39%|███▊      | 39/101 [00:21<00:32,  1.91it/s]
Epoch [1/50], loss_sup: 4.2765:  40%|███▉      | 40/101 [00:21<00:31,  1.91it/s]
Epoch [1/50], loss_sup: 4.2676:  40%|███▉      | 40/101 [00:21<00:31,  1.91it/s]
Epoch [1/50], loss_sup: 4.2676:  41%|████      | 41/101 [00:21<00:31,  1.91it/s]
Epoch [1/50], loss_sup: 4.3282:  41%|████      | 41/101 [00:22<00:31,  1.91it/s]
Epoch [1/50], loss_sup: 4.3282:  42%|████▏     | 42/101 [00:22<00:30,  1.91it/s]
Epoch [1/50], loss_sup: 4.2099:  42%|████▏     | 42/101 [00:23<00:30,  1.91it/s]
Epoch [1/50], loss_sup: 4.2099:  43%|████▎     | 43/101 [00:23<00:30,  1.91it/s]
Epoch [1/50], loss_sup: 4.4001:  43%|████▎     | 43/101 [00:23<00:30,  1.91it/s]
Epoch [1/50], loss_sup: 4.4001:  44%|████▎     | 44/101 [00:23<00:29,  1.91it/s]
Epoch [1/50], loss_sup: 4.1911:  44%|████▎     | 44/101 [00:24<00:29,  1.91it/s]
Epoch [1/50], loss_sup: 4.1911:  45%|████▍     | 45/101 [00:24<00:29,  1.91it/s]
Epoch [1/50], loss_sup: 4.1043:  45%|████▍     | 45/101 [00:24<00:29,  1.91it/s]
Epoch [1/50], loss_sup: 4.1043:  46%|████▌     | 46/101 [00:24<00:28,  1.91it/s]
Epoch [1/50], loss_sup: 4.0775:  46%|████▌     | 46/101 [00:25<00:28,  1.91it/s]
Epoch [1/50], loss_sup: 4.0775:  47%|████▋     | 47/101 [00:25<00:28,  1.91it/s]
Epoch [1/50], loss_sup: 3.9918:  47%|████▋     | 47/101 [00:25<00:28,  1.91it/s]
Epoch [1/50], loss_sup: 3.9918:  48%|████▊     | 48/101 [00:25<00:27,  1.91it/s]
Epoch [1/50], loss_sup: 4.2560:  48%|████▊     | 48/101 [00:26<00:27,  1.91it/s]
Epoch [1/50], loss_sup: 4.2560:  49%|████▊     | 49/101 [00:26<00:27,  1.91it/s]
Epoch [1/50], loss_sup: 4.0904:  49%|████▊     | 49/101 [00:26<00:27,  1.91it/s]
Epoch [1/50], loss_sup: 4.0904:  50%|████▉     | 50/101 [00:26<00:26,  1.91it/s]
