/home/mayuan/miniconda3/envs/labelnoise/lib/python3.7/site-packages/nni/runtime/trial_command_channel/standalone.py:34: RuntimeWarning: [1m[31mRunning trial code without runtime. Please check the tutorial if you are new to NNI: [33mhttps://nni.readthedocs.io/en/stable/tutorials/hpo_quickstart_pytorch/main.html[0m
  warnings.warn(warning_message, RuntimeWarning)
loading config from /home/mayuan/label_noise/DISC/configs/DISC_organcmnist.py ...
---------- params info: ----------
algorithm  :  DISC
dataset  :  organcmnist
input_channel  :  3
num_classes  :  11
noise_type  :  instance
noise_rate  :  0.5
seed  :  5
loss_type  :  ce
gpu  :  0
batch_size  :  128
lr  :  0.01
epochs  :  50
num_workers  :  4
adjust_lr  :  1
epoch_decay_start  :  30
alpha  :  5.0
save_result  :  False
root  :  /data/yfli/CIFAR10
momentum  :  0.99
---------------------------------
Loading noisy labels from cache: /home/mayuan/label_noise/instance_noise/organcmnist/noisy_nr0_5_seed0_train.npy
Loading noisy labels from cache: /home/mayuan/label_noise/instance_noise/organcmnist/noisy_nr0_5_seed0_val.npy
Adjusting learning rate of group 0 to 1.0000e-01.
Evaluating ...
Evaluating ...
Epoch [0/50] Test Accuracy on the 8216 test images: 4.3452
Loading labels......

  0%|          | 0/101 [00:00<?, ?it/s]
  1%|          | 1/101 [00:00<00:58,  1.70it/s]
  5%|▍         | 5/101 [00:00<00:15,  6.31it/s]
  9%|▉         | 9/101 [00:01<00:10,  8.41it/s]
 13%|█▎        | 13/101 [00:01<00:09,  9.62it/s]
 17%|█▋        | 17/101 [00:01<00:08, 10.37it/s]
 21%|██        | 21/101 [00:02<00:07, 10.77it/s]
 25%|██▍       | 25/101 [00:02<00:06, 11.08it/s]
 29%|██▊       | 29/101 [00:02<00:06, 11.24it/s]
 33%|███▎      | 33/101 [00:03<00:05, 11.45it/s]
 37%|███▋      | 37/101 [00:03<00:05, 11.51it/s]
 41%|████      | 41/101 [00:04<00:05, 11.52it/s]
 45%|████▍     | 45/101 [00:04<00:04, 11.64it/s]
 49%|████▊     | 49/101 [00:04<00:04, 11.68it/s]
 52%|█████▏    | 53/101 [00:05<00:04, 11.79it/s]
 56%|█████▋    | 57/101 [00:05<00:03, 11.71it/s]
 60%|██████    | 61/101 [00:05<00:03, 11.87it/s]
 64%|██████▍   | 65/101 [00:06<00:03, 11.76it/s]
 68%|██████▊   | 69/101 [00:06<00:02, 11.94it/s]
 72%|███████▏  | 73/101 [00:06<00:02, 11.97it/s]
 76%|███████▌  | 77/101 [00:07<00:02, 11.89it/s]
 80%|████████  | 81/101 [00:07<00:01, 11.84it/s]
 84%|████████▍ | 85/101 [00:07<00:01, 11.78it/s]
 88%|████████▊ | 89/101 [00:08<00:01, 11.84it/s]
 92%|█████████▏| 93/101 [00:08<00:00, 11.75it/s]
 96%|█████████▌| 97/101 [00:08<00:00, 11.74it/s]
100%|██████████| 101/101 [00:09<00:00, 11.99it/s]
100%|██████████| 101/101 [00:09<00:00, 11.07it/s]
The labels are loaded!
The labels are loaded!!!
Training ...

  0%|          | 0/101 [00:00<?, ?it/s]
Epoch [1/50], loss_sup: 4.9623:   0%|          | 0/101 [00:01<?, ?it/s]
Epoch [1/50], loss_sup: 4.9623:   1%|          | 1/101 [00:01<01:56,  1.16s/it]
Epoch [1/50], loss_sup: 14.0939:   1%|          | 1/101 [00:01<01:56,  1.16s/it]
Epoch [1/50], loss_sup: 14.0939:   2%|▏         | 2/101 [00:01<01:18,  1.26it/s]
Epoch [1/50], loss_sup: 29.0944:   2%|▏         | 2/101 [00:02<01:18,  1.26it/s]
Epoch [1/50], loss_sup: 29.0944:   3%|▎         | 3/101 [00:02<01:05,  1.49it/s]
Epoch [1/50], loss_sup: 14.0066:   3%|▎         | 3/101 [00:02<01:05,  1.49it/s]
Epoch [1/50], loss_sup: 14.0066:   4%|▍         | 4/101 [00:02<00:59,  1.63it/s]
Epoch [1/50], loss_sup: 8.9402:   4%|▍         | 4/101 [00:03<00:59,  1.63it/s] 
Epoch [1/50], loss_sup: 8.9402:   5%|▍         | 5/101 [00:03<00:55,  1.72it/s]
Epoch [1/50], loss_sup: 8.3738:   5%|▍         | 5/101 [00:03<00:55,  1.72it/s]
Epoch [1/50], loss_sup: 8.3738:   6%|▌         | 6/101 [00:03<00:53,  1.77it/s]
Epoch [1/50], loss_sup: 6.4633:   6%|▌         | 6/101 [00:04<00:53,  1.77it/s]
Epoch [1/50], loss_sup: 6.4633:   7%|▋         | 7/101 [00:04<00:51,  1.82it/s]
Epoch [1/50], loss_sup: 6.1484:   7%|▋         | 7/101 [00:04<00:51,  1.82it/s]
Epoch [1/50], loss_sup: 6.1484:   8%|▊         | 8/101 [00:04<00:50,  1.85it/s]
Epoch [1/50], loss_sup: 5.7285:   8%|▊         | 8/101 [00:05<00:50,  1.85it/s]
Epoch [1/50], loss_sup: 5.7285:   9%|▉         | 9/101 [00:05<00:49,  1.87it/s]
Epoch [1/50], loss_sup: 6.0800:   9%|▉         | 9/101 [00:05<00:49,  1.87it/s]
Epoch [1/50], loss_sup: 6.0800:  10%|▉         | 10/101 [00:05<00:48,  1.88it/s]
Epoch [1/50], loss_sup: 5.0740:  10%|▉         | 10/101 [00:06<00:48,  1.88it/s]
Epoch [1/50], loss_sup: 5.0740:  11%|█         | 11/101 [00:06<00:47,  1.89it/s]
Epoch [1/50], loss_sup: 5.1235:  11%|█         | 11/101 [00:06<00:47,  1.89it/s]
Epoch [1/50], loss_sup: 5.1235:  12%|█▏        | 12/101 [00:06<00:46,  1.90it/s]
Epoch [1/50], loss_sup: 4.8131:  12%|█▏        | 12/101 [00:07<00:46,  1.90it/s]
Epoch [1/50], loss_sup: 4.8131:  13%|█▎        | 13/101 [00:07<00:46,  1.90it/s]
Epoch [1/50], loss_sup: 4.8624:  13%|█▎        | 13/101 [00:07<00:46,  1.90it/s]
Epoch [1/50], loss_sup: 4.8624:  14%|█▍        | 14/101 [00:07<00:45,  1.90it/s]
Epoch [1/50], loss_sup: 4.9049:  14%|█▍        | 14/101 [00:08<00:45,  1.90it/s]
Epoch [1/50], loss_sup: 4.9049:  15%|█▍        | 15/101 [00:08<00:45,  1.90it/s]
Epoch [1/50], loss_sup: 4.7421:  15%|█▍        | 15/101 [00:09<00:45,  1.90it/s]
Epoch [1/50], loss_sup: 4.7421:  16%|█▌        | 16/101 [00:09<00:44,  1.90it/s]
Epoch [1/50], loss_sup: 4.9136:  16%|█▌        | 16/101 [00:09<00:44,  1.90it/s]
Epoch [1/50], loss_sup: 4.9136:  17%|█▋        | 17/101 [00:09<00:44,  1.91it/s]
Epoch [1/50], loss_sup: 4.8074:  17%|█▋        | 17/101 [00:10<00:44,  1.91it/s]
Epoch [1/50], loss_sup: 4.8074:  18%|█▊        | 18/101 [00:10<00:43,  1.92it/s]
Epoch [1/50], loss_sup: 4.7839:  18%|█▊        | 18/101 [00:10<00:43,  1.92it/s]
Epoch [1/50], loss_sup: 4.7839:  19%|█▉        | 19/101 [00:10<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.7574:  19%|█▉        | 19/101 [00:11<00:42,  1.92it/s]
Epoch [1/50], loss_sup: 4.7574:  20%|█▉        | 20/101 [00:11<00:42,  1.91it/s]
Epoch [1/50], loss_sup: 4.6389:  20%|█▉        | 20/101 [00:11<00:42,  1.91it/s]
Epoch [1/50], loss_sup: 4.6389:  21%|██        | 21/101 [00:11<00:41,  1.91it/s]
Epoch [1/50], loss_sup: 5.2246:  21%|██        | 21/101 [00:12<00:41,  1.91it/s]
Epoch [1/50], loss_sup: 5.2246:  22%|██▏       | 22/101 [00:12<00:41,  1.91it/s]
Epoch [1/50], loss_sup: 4.6628:  22%|██▏       | 22/101 [00:12<00:41,  1.91it/s]
Epoch [1/50], loss_sup: 4.6628:  23%|██▎       | 23/101 [00:12<00:40,  1.91it/s]
Epoch [1/50], loss_sup: 4.6589:  23%|██▎       | 23/101 [00:13<00:40,  1.91it/s]
Epoch [1/50], loss_sup: 4.6589:  24%|██▍       | 24/101 [00:13<00:40,  1.90it/s]
Epoch [1/50], loss_sup: 4.7712:  24%|██▍       | 24/101 [00:13<00:40,  1.90it/s]
Epoch [1/50], loss_sup: 4.7712:  25%|██▍       | 25/101 [00:13<00:39,  1.90it/s]
Epoch [1/50], loss_sup: 4.7033:  25%|██▍       | 25/101 [00:14<00:39,  1.90it/s]
Epoch [1/50], loss_sup: 4.7033:  26%|██▌       | 26/101 [00:14<00:39,  1.90it/s]
Epoch [1/50], loss_sup: 4.7814:  26%|██▌       | 26/101 [00:14<00:39,  1.90it/s]
Epoch [1/50], loss_sup: 4.7814:  27%|██▋       | 27/101 [00:14<00:38,  1.90it/s]
Epoch [1/50], loss_sup: 4.5891:  27%|██▋       | 27/101 [00:15<00:38,  1.90it/s]
Epoch [1/50], loss_sup: 4.5891:  28%|██▊       | 28/101 [00:15<00:38,  1.91it/s]
Epoch [1/50], loss_sup: 4.5541:  28%|██▊       | 28/101 [00:15<00:38,  1.91it/s]
Epoch [1/50], loss_sup: 4.5541:  29%|██▊       | 29/101 [00:15<00:37,  1.91it/s]
Epoch [1/50], loss_sup: 4.6518:  29%|██▊       | 29/101 [00:16<00:37,  1.91it/s]
Epoch [1/50], loss_sup: 4.6518:  30%|██▉       | 30/101 [00:16<00:37,  1.91it/s]
Epoch [1/50], loss_sup: 4.7072:  30%|██▉       | 30/101 [00:16<00:37,  1.91it/s]
Epoch [1/50], loss_sup: 4.7072:  31%|███       | 31/101 [00:16<00:36,  1.91it/s]
Epoch [1/50], loss_sup: 4.6288:  31%|███       | 31/101 [00:17<00:36,  1.91it/s]
Epoch [1/50], loss_sup: 4.6288:  32%|███▏      | 32/101 [00:17<00:36,  1.91it/s]
Epoch [1/50], loss_sup: 4.4551:  32%|███▏      | 32/101 [00:17<00:36,  1.91it/s]
Epoch [1/50], loss_sup: 4.4551:  33%|███▎      | 33/101 [00:17<00:35,  1.91it/s]
Epoch [1/50], loss_sup: 4.6589:  33%|███▎      | 33/101 [00:18<00:35,  1.91it/s]
Epoch [1/50], loss_sup: 4.6589:  34%|███▎      | 34/101 [00:18<00:35,  1.90it/s]
Epoch [1/50], loss_sup: 4.5162:  34%|███▎      | 34/101 [00:19<00:35,  1.90it/s]
Epoch [1/50], loss_sup: 4.5162:  35%|███▍      | 35/101 [00:19<00:34,  1.89it/s]
Epoch [1/50], loss_sup: 4.4976:  35%|███▍      | 35/101 [00:19<00:34,  1.89it/s]
Epoch [1/50], loss_sup: 4.4976:  36%|███▌      | 36/101 [00:19<00:34,  1.90it/s]
Epoch [1/50], loss_sup: 4.6187:  36%|███▌      | 36/101 [00:20<00:34,  1.90it/s]
Epoch [1/50], loss_sup: 4.6187:  37%|███▋      | 37/101 [00:20<00:33,  1.89it/s]
Epoch [1/50], loss_sup: 4.7443:  37%|███▋      | 37/101 [00:20<00:33,  1.89it/s]
Epoch [1/50], loss_sup: 4.7443:  38%|███▊      | 38/101 [00:20<00:33,  1.90it/s]
Epoch [1/50], loss_sup: 4.5855:  38%|███▊      | 38/101 [00:21<00:33,  1.90it/s]
Epoch [1/50], loss_sup: 4.5855:  39%|███▊      | 39/101 [00:21<00:32,  1.90it/s]
Epoch [1/50], loss_sup: 4.5278:  39%|███▊      | 39/101 [00:21<00:32,  1.90it/s]
Epoch [1/50], loss_sup: 4.5278:  40%|███▉      | 40/101 [00:21<00:32,  1.90it/s]
Epoch [1/50], loss_sup: 4.4998:  40%|███▉      | 40/101 [00:22<00:32,  1.90it/s]
Epoch [1/50], loss_sup: 4.4998:  41%|████      | 41/101 [00:22<00:31,  1.90it/s]
Epoch [1/50], loss_sup: 4.4431:  41%|████      | 41/101 [00:22<00:31,  1.90it/s]
Epoch [1/50], loss_sup: 4.4431:  42%|████▏     | 42/101 [00:22<00:31,  1.90it/s]
Epoch [1/50], loss_sup: 4.6057:  42%|████▏     | 42/101 [00:23<00:31,  1.90it/s]
Epoch [1/50], loss_sup: 4.6057:  43%|████▎     | 43/101 [00:23<00:30,  1.89it/s]
Epoch [1/50], loss_sup: 4.4724:  43%|████▎     | 43/101 [00:23<00:30,  1.89it/s]
Epoch [1/50], loss_sup: 4.4724:  44%|████▎     | 44/101 [00:23<00:30,  1.90it/s]
Epoch [1/50], loss_sup: 4.4741:  44%|████▎     | 44/101 [00:24<00:30,  1.90it/s]
Epoch [1/50], loss_sup: 4.4741:  45%|████▍     | 45/101 [00:24<00:29,  1.90it/s]
Epoch [1/50], loss_sup: 4.6154:  45%|████▍     | 45/101 [00:24<00:29,  1.90it/s]
Epoch [1/50], loss_sup: 4.6154:  46%|████▌     | 46/101 [00:24<00:29,  1.90it/s]
Epoch [1/50], loss_sup: 4.3913:  46%|████▌     | 46/101 [00:25<00:29,  1.90it/s]
Epoch [1/50], loss_sup: 4.3913:  47%|████▋     | 47/101 [00:25<00:28,  1.89it/s]
Epoch [1/50], loss_sup: 4.4058:  47%|████▋     | 47/101 [00:25<00:28,  1.89it/s]
Epoch [1/50], loss_sup: 4.4058:  48%|████▊     | 48/101 [00:25<00:28,  1.89it/s]
Epoch [1/50], loss_sup: 4.3043:  48%|████▊     | 48/101 [00:26<00:28,  1.89it/s]
Epoch [1/50], loss_sup: 4.3043:  49%|████▊     | 49/101 [00:26<00:27,  1.89it/s]
