epoch:  val_acc test_acc 
0: 24.25 38.81818181818182
0: 29.0 47.36363636363637
1: 29.0 47.45454545454545
2: 29.0 47.90909090909091
3: 29.0 48.18181818181818
4: 28.25 47.81818181818182
5: 29.0 48.18181818181818
6: 24.0 26.545454545454547
7: 29.5 47.54545454545455
8: 29.0 48.18181818181818
9: 29.0 48.09090909090909
10: 28.5 47.63636363636363
11: 29.0 43.0
12: 29.5 40.0
13: 24.5 26.818181818181817
14: 27.5 45.72727272727273
15: 29.25 48.09090909090909
16: 26.5 39.09090909090909
17: 29.0 45.81818181818182
18: 29.25 47.54545454545455
19: 28.5 23.181818181818183
20: 29.25 47.72727272727273
21: 28.75 48.18181818181818
22: 28.5 47.72727272727273
23: 29.0 48.09090909090909
24: 29.0 48.18181818181818
25: 30.25 45.90909090909091
26: 30.0 43.27272727272727
27: 28.75 47.18181818181818
28: 29.75 46.18181818181818
29: 28.75 48.0
30: 29.0 47.09090909090909
31: 28.75 46.81818181818182
32: 29.5 44.27272727272727
33: 29.5 44.27272727272727
34: 30.5 44.27272727272727
35: 29.0 45.0
36: 28.25 45.63636363636363
37: 29.0 45.72727272727273
38: 28.75 46.72727272727273
39: 28.5 45.36363636363637
40: 28.25 45.36363636363637
41: 28.25 44.36363636363637
42: 28.5 44.63636363636363
43: 28.5 45.45454545454545
44: 28.5 46.09090909090909
45: 28.5 45.63636363636363
46: 29.0 44.81818181818182
47: 28.75 44.81818181818182
48: 28.75 45.81818181818182
49: 28.0 45.0

=== Summary ===
Best Val Epoch: 34
Test Acc at Best Val: 44.2727 %
Best Test Acc: 48.1818 %
Mean Test Acc of Last 5 Epochs: 45.2182 %
